date,datetime,open,high,low,close,volume,conditions
20241001,2024-10-01 11:47:00,22413.0,22414.0,22404.0,22408.0,83.0,breakout
20241001,2024-10-01 11:48:00,22409.0,22417.0,22408.0,22413.0,111.0,breakout
20241001,2024-10-01 11:49:00,22413.0,22424.0,22413.0,22415.0,202.0,breakout
20241001,2024-10-01 11:55:00,22414.0,22427.0,22414.0,22425.0,153.0,breakout
20241001,2024-10-01 11:56:00,22426.0,22428.0,22415.0,22418.0,107.0,breakout
20241001,2024-10-01 11:58:00,22421.0,22432.0,22419.0,22423.0,163.0,breakout
20241001,2024-10-01 12:10:00,22404.0,22405.0,22388.0,22389.0,205.0,volume_spike
20241001,2024-10-01 12:32:00,22416.0,22421.0,22415.0,22419.0,96.0,breakout
20241001,2024-10-01 12:33:00,22420.0,22424.0,22404.0,22404.0,126.0,breakout
20241001,2024-10-01 12:34:00,22404.0,22405.0,22384.0,22394.0,249.0,volume_spike
20241001,2024-10-01 12:35:00,22391.0,22394.0,22373.0,22386.0,584.0,volume_spike
20241001,2024-10-01 12:53:00,22395.0,22396.0,22376.0,22382.0,187.0,volume_spike
20241001,2024-10-01 13:04:00,22400.0,22402.0,22387.0,22387.0,164.0,volume_spike
20241001,2024-10-01 13:09:00,22382.0,22397.0,22382.0,22397.0,141.0,long_red_candle
20241001,2024-10-01 13:25:00,22389.0,22406.0,22388.0,22403.0,246.0,breakout
20241001,2024-10-01 13:26:00,22403.0,22405.0,22387.0,22387.0,384.0,volume_spike
20241001,2024-10-01 13:45:00,22386.0,22400.0,22391.0,22391.0,471.0,volume_spike
20241004,2024-10-04 08:49:00,22277.0,22312.0,22277.0,22307.0,434.0,long_red_candle
20241004,2024-10-04 08:51:00,22303.0,22345.0,22301.0,22344.0,774.0,long_red_candle
20241004,2024-10-04 08:53:00,22349.0,22405.0,22349.0,22397.0,1126.0,long_red_candle
20241004,2024-10-04 09:00:00,22392.0,22408.0,22392.0,22407.0,201.0,long_red_candle
20241004,2024-10-04 09:01:00,22407.0,22430.0,22387.0,22395.0,1186.0,volume_spike
20241004,2024-10-04 09:03:00,22366.0,22394.0,22361.0,22390.0,515.0,long_red_candle
20241004,2024-10-04 09:07:00,22371.0,22407.0,22371.0,22391.0,606.0,long_red_candle
20241004,2024-10-04 09:11:00,22426.0,22458.0,22417.0,22457.0,1414.0,"long_red_candle, volume_spike"
20241004,2024-10-04 09:12:00,22457.0,22490.0,22456.0,22480.0,1316.0,long_red_candle
20241004,2024-10-04 09:16:00,22463.0,22484.0,22458.0,22481.0,476.0,long_red_candle
20241004,2024-10-04 09:21:00,22469.0,22471.0,22431.0,22431.0,748.0,volume_spike
20241004,2024-10-04 09:23:00,22439.0,22480.0,22437.0,22479.0,441.0,long_red_candle
20241004,2024-10-04 09:24:00,22477.0,22498.0,22472.0,22492.0,646.0,long_red_candle
20241004,2024-10-04 09:25:00,22491.0,22507.0,22483.0,22498.0,523.0,breakout
20241004,2024-10-04 09:36:00,22464.0,22482.0,22458.0,22480.0,240.0,long_red_candle
20241004,2024-10-04 09:42:00,22435.0,22459.0,22431.0,22454.0,235.0,long_red_candle
20241004,2024-10-04 09:45:00,22455.0,22472.0,22452.0,22470.0,301.0,long_red_candle
20241004,2024-10-04 09:49:00,22477.0,22503.0,22477.0,22493.0,529.0,long_red_candle
20241004,2024-10-04 10:02:00,22383.0,22383.0,22337.0,22354.0,1461.0,volume_spike
20241004,2024-10-04 10:08:00,22318.0,22345.0,22311.0,22334.0,497.0,long_red_candle
20241004,2024-10-04 10:15:00,22338.0,22363.0,22338.0,22356.0,423.0,long_red_candle
20241004,2024-10-04 10:23:00,22374.0,22396.0,22372.0,22389.0,439.0,long_red_candle
20241004,2024-10-04 10:36:00,22392.0,22402.0,22384.0,22396.0,203.0,breakout
20241004,2024-10-04 10:37:00,22396.0,22412.0,22395.0,22405.0,274.0,breakout
20241004,2024-10-04 10:38:00,22404.0,22444.0,22404.0,22435.0,889.0,"long_red_candle, volume_spike, breakout"
20241004,2024-10-04 10:40:00,22435.0,22447.0,22433.0,22439.0,262.0,breakout
20241004,2024-10-04 10:57:00,22350.0,22371.0,22350.0,22371.0,152.0,long_red_candle
20241004,2024-10-04 11:02:00,22357.0,22380.0,22356.0,22379.0,145.0,long_red_candle
20241004,2024-10-04 11:12:00,22365.0,22388.0,22363.0,22385.0,109.0,long_red_candle
20241004,2024-10-04 11:36:00,22339.0,22343.0,22321.0,22322.0,484.0,volume_spike
20241004,2024-10-04 11:49:00,22304.0,22328.0,22304.0,22323.0,274.0,long_red_candle
20241004,2024-10-04 12:18:00,22332.0,22355.0,22332.0,22353.0,332.0,"long_red_candle, volume_spike, breakout"
20241004,2024-10-04 12:19:00,22351.0,22365.0,22351.0,22355.0,227.0,breakout
20241004,2024-10-04 12:26:00,22355.0,22370.0,22353.0,22366.0,209.0,breakout
20241004,2024-10-04 12:27:00,22365.0,22386.0,22364.0,22384.0,340.0,"long_red_candle, volume_spike, breakout"
20241004,2024-10-04 12:28:00,22381.0,22394.0,22381.0,22392.0,282.0,breakout
20241004,2024-10-04 12:35:00,22388.0,22399.0,22388.0,22394.0,166.0,breakout
20241004,2024-10-04 13:16:00,22279.0,22310.0,22275.0,22308.0,648.0,"long_red_candle, volume_spike"
20241004,2024-10-04 13:31:00,22312.0,22320.0,22306.0,22313.0,729.0,volume_spike
20241004,2024-10-04 13:43:00,22298.0,22301.0,22281.0,22288.0,456.0,volume_spike
