combination,count,probability,dates,date_list,first_trade_description,second_trade_description,final_trade_description,high_point,low_point,avg_first_change,avg_second_change,avg_final_change,avg_daily_change
Medium_Up_Low_Down_High_Up_H_Nl,7,0.014613778705636743,"['20230807', '20240215', '20240327', '20240726', '20250415', '20250521', '20250709']","20230807, 20240215, 20240327, 20240726, 20250415, 20250521, 20250709",Medium(Up),Low(Down),High(Up),創全日最高,未創全日最低,63.0,-25.285714285713766,119.42857142857247,148.71428571428572
High_Up_High_Up_High_Down_Nh_L,7,0.014613778705636743,"['20231003', '20231129', '20240311', '20240516', '20240613', '20250110', '20250603']","20231003, 20231129, 20240311, 20240516, 20240613, 20250110, 20250603",High(Up),High(Up),High(Down),未創全日最高,創全日最低,65.71428571428623,42.42857142857247,-122.57142857142753,-33.42857142857143
High_Up_Low_Down_High_Down_Nh_L,7,0.014613778705636743,"['20230802', '20230913', '20240227', '20240326', '20240826', '20241004', '20250307']","20230802, 20230913, 20240227, 20240326, 20240826, 20241004, 20250307",High(Up),Low(Down),High(Down),未創全日最高,創全日最低,97.1428571428587,-31.42857142856883,-142.28571428571377,-69.57142857142857
High_Down_High_Down_Low_Up_Nh_L,6,0.012526096033402923,"['20230808', '20231120', '20241029', '20250204', '20250627', '20250708']","20230808, 20231120, 20241029, 20250204, 20250627, 20250708",High(Down),High(Down),Low(Up),未創全日最高,創全日最低,-99.5,-43.5,42.66666666666788,-102.66666666666667
Medium_Down_Medium_Up_High_Down_Nh_L,6,0.012526096033402923,"['20240814', '20240821', '20241023', '20241030', '20241220', '20250408']","20240814, 20240821, 20241023, 20241030, 20241220, 20250408",Medium(Down),Medium(Up),High(Down),未創全日最高,創全日最低,-62.5,79.5,-171.33333333333576,-173.66666666666666
Medium_Up_High_Up_Low_Down_H_Nl,6,0.012526096033402923,"['20231002', '20240124', '20240408', '20240426', '20241011', '20241015']","20231002, 20240124, 20240408, 20240426, 20241011, 20241015",Medium(Up),High(Up),Low(Down),創全日最高,未創全日最低,29.5,63.16666666666788,-43.83333333333212,44.333333333333336
High_Down_Low_Up_High_Up_H_Nl,5,0.010438413361169102,"['20240703', '20240919', '20241014', '20241204', '20250114']","20240703, 20240919, 20241014, 20241204, 20250114",High(Down),Low(Up),High(Up),創全日最高,未創全日最低,-74.79999999999927,24.400000000001455,170.40000000000146,137.6
Medium_Up_High_Up_High_Down_H_L,5,0.010438413361169102,"['20240509', '20240802', '20240903', '20241217', '20250605']","20240509, 20240802, 20240903, 20241217, 20250605",Medium(Up),High(Up),High(Down),創全日最高,創全日最低,37.599999999998545,50.400000000001455,-235.20000000000073,-166.6
High_Up_High_Up_Low_Down_H_Nl,5,0.010438413361169102,"['20230901', '20231019', '20231117', '20240515', '20241113']","20230901, 20231019, 20231117, 20240515, 20241113",High(Up),High(Up),Low(Down),創全日最高,未創全日最低,58.400000000001455,24.799999999999272,-60.0,39.2
High_Up_Low_Down_High_Up_H_Nl,5,0.010438413361169102,"['20230823', '20240402', '20240417', '20241122', '20250618']","20230823, 20240402, 20240417, 20241122, 20250618",High(Up),Low(Down),High(Up),創全日最高,未創全日最低,110.19999999999709,-34.20000000000073,124.39999999999782,205.6
High_Down_Medium_Up_High_Up_H_Nl,5,0.010438413361169102,"['20240318', '20241022', '20250218', '20250221', '20250311']","20240318, 20241022, 20250218, 20250221, 20250311",High(Down),Medium(Up),High(Up),創全日最高,未創全日最低,-109.20000000000073,85.20000000000073,136.0,129.2
Medium_Down_High_Down_High_Up_H_Nl,4,0.008350730688935281,"['20230915', '20240328', '20250224', '20250623']","20230915, 20240328, 20250224, 20250623",Medium(Down),High(Down),High(Up),創全日最高,未創全日最低,-17.0,-41.0,95.25,38.0
Medium_Down_High_Down_Medium_Up_Nh_L,4,0.008350730688935281,"['20240521', '20241128', '20241225', '20250620']","20240521, 20241128, 20241225, 20250620",Medium(Down),High(Down),Medium(Up),未創全日最高,創全日最低,-30.5,-68.5,76.75,-4.5
Medium_Down_Medium_Up_High_Up_H_Nl,4,0.008350730688935281,"['20240523', '20240711', '20240823', '20240912']","20240523, 20240711, 20240823, 20240912",Medium(Down),Medium(Up),High(Up),創全日最高,未創全日最低,-48.25,98.25,63.75,94.25
High_Up_Medium_Up_High_Up_H_Nl,4,0.008350730688935281,"['20230804', '20240522', '20240809', '20240829']","20230804, 20240522, 20240809, 20240829",High(Up),Medium(Up),High(Up),創全日最高,未創全日最低,67.5,72.25,80.5,200.25
High_Down_Low_Up_High_Down_Nh_L,4,0.008350730688935281,"['20230831', '20240624', '20241018', '20250421']","20230831, 20240624, 20241018, 20250421",High(Down),Low(Up),High(Down),未創全日最高,創全日最低,-156.5,27.5,-68.75,-204.25
Medium_Up_High_Up_Medium_Down_H_L,4,0.008350730688935281,"['20231025', '20231027', '20231122', '20250428']","20231025, 20231027, 20231122, 20250428",Medium(Up),High(Up),Medium(Down),創全日最高,創全日最低,26.25,15.0,-55.5,-3.0
Medium_Up_Medium_Up_High_Up_H_Nl,4,0.008350730688935281,"['20230817', '20240329', '20240508', '20240704']","20230817, 20240329, 20240508, 20240704",Medium(Up),Medium(Up),High(Up),創全日最高,未創全日最低,9.0,32.5,82.25,122.75
Medium_Down_High_Down_Low_Up_Nh_L,4,0.008350730688935281,"['20231219', '20240507', '20241226', '20250505']","20231219, 20240507, 20241226, 20250505",Medium(Down),High(Down),Low(Up),未創全日最高,創全日最低,-68.0,-85.0,18.5,-117.75
Medium_Down_Medium_Up_Low_Down_H_Nl,3,0.006263048016701462,"['20240112', '20241126', '20250613']","20240112, 20241126, 20250613",Medium(Down),Medium(Up),Low(Down),創全日最高,未創全日最低,-53.33333333333576,93.66666666666788,-85.33333333333212,-22.333333333333332
Medium_Down_Medium_Down_High_Down_Nh_L,3,0.006263048016701462,"['20240927', '20250318', '20250328']","20240927, 20250318, 20250328",Medium(Down),Medium(Down),High(Down),未創全日最高,創全日最低,-36.66666666666424,-41.33333333333212,-125.66666666666788,-198.33333333333334
Medium_Down_High_Down_Medium_Up_H_L,3,0.006263048016701462,"['20240819', '20241008', '20241111']","20240819, 20241008, 20241111",Medium(Down),High(Down),Medium(Up),創全日最高,創全日最低,-58.33333333333212,-41.0,94.66666666666788,-16.666666666666668
High_Down_Medium_Up_Medium_Down_H_Nl,3,0.006263048016701462,"['20231222', '20240506', '20241121']","20231222, 20240506, 20241121",High(Down),Medium(Up),Medium(Down),創全日最高,未創全日最低,-65.66666666666424,39.0,-25.0,-53.333333333333336
High_Down_High_Down_Medium_Up_H_L,3,0.006263048016701462,"['20240510', '20241017', '20250611']","20240510, 20241017, 20250611",High(Down),High(Down),Medium(Up),創全日最高,創全日最低,-46.66666666666424,-23.33333333333212,139.33333333333576,80.0
Medium_Up_High_Down_Medium_Up_Nh_L,3,0.006263048016701462,"['20240222', '20240423', '20250303']","20240222, 20240423, 20250303",Medium(Up),High(Down),Medium(Up),未創全日最高,創全日最低,10.0,-51.66666666666788,63.0,34.0
High_Up_Low_Down_Medium_Up_H_Nl,3,0.006263048016701462,"['20240123', '20240126', '20240716']","20240123, 20240126, 20240716",High(Up),Low(Down),Medium(Up),創全日最高,未創全日最低,44.66666666666788,-16.33333333333212,50.33333333333212,94.33333333333333
High_Down_High_Down_Medium_Up_H_Nl,3,0.006263048016701462,"['20231020', '20240201', '20250625']","20231020, 20240201, 20250625",High(Down),High(Down),Medium(Up),創全日最高,未創全日最低,-62.66666666666788,-27.0,113.66666666666788,8.0
Medium_Down_Low_Down_High_Down_Nh_L,3,0.006263048016701462,"['20230926', '20240117', '20240315']","20230926, 20240117, 20240315",Medium(Down),Low(Down),High(Down),未創全日最高,創全日最低,-9.0,-23.33333333333576,-80.0,-112.0
High_Down_Low_Up_Medium_Up_H_L,3,0.006263048016701462,"['20230829', '20240830', '20240916']","20230829, 20240830, 20240916",High(Down),Low(Up),Medium(Up),創全日最高,創全日最低,-50.66666666666788,26.0,45.33333333333212,17.333333333333332
High_Up_Medium_Up_High_Down_H_L,3,0.006263048016701462,"['20230815', '20241009', '20241112']","20230815, 20241009, 20241112",High(Up),Medium(Up),High(Down),創全日最高,創全日最低,66.0,40.0,-191.33333333333576,-86.0
Medium_Up_Low_Down_Medium_Up_H_Nl,3,0.006263048016701462,"['20231110', '20241025', '20250320']","20231110, 20241025, 20250320",Medium(Up),Low(Down),Medium(Up),創全日最高,未創全日最低,65.66666666666788,-50.66666666666788,107.33333333333212,135.66666666666666
Medium_Up_High_Up_Medium_Up_H_Nl,3,0.006263048016701462,"['20231103', '20240607', '20250312']","20231103, 20240607, 20250312",Medium(Up),High(Up),Medium(Up),創全日最高,未創全日最低,34.33333333333212,21.33333333333576,33.0,71.66666666666667
Medium_Down_High_Up_Medium_Down_H_L,3,0.006263048016701462,"['20231013', '20231123', '20240925']","20231013, 20231123, 20240925",Medium(Down),High(Up),Medium(Down),創全日最高,創全日最低,-14.33333333333212,34.0,-13.333333333335759,3.0
Medium_Up_Medium_Up_High_Down_Nh_L,2,0.0041753653444676405,"['20231207', '20250416']","20231207, 20250416",Medium(Up),Medium(Up),High(Down),未創全日最高,創全日最低,20.5,25.0,-92.0,-52.0
High_Down_High_Down_Medium_Up_Nh_L,2,0.0041753653444676405,"['20240115', '20240125']","20240115, 20240125",High(Down),High(Down),Medium(Up),未創全日最高,創全日最低,-73.5,-9.5,23.5,-21.0
Medium_Down_Medium_Up_Medium_Down_H_Nl,2,0.0041753653444676405,"['20231206', '20240702']","20231206, 20240702",Medium(Down),Medium(Up),Medium(Down),創全日最高,未創全日最低,-56.5,107.5,-67.5,3.5
Medium_Up_High_Down_Low_Up_Nh_L,2,0.0041753653444676405,"['20231116', '20240425']","20231116, 20240425",Medium(Up),High(Down),Low(Up),未創全日最高,創全日最低,17.0,-51.5,15.5,-32.5
Low_Down_Low_Up_High_Down_Nh_L,2,0.0041753653444676405,"['20231031', '20250425']","20231031, 20250425",Low(Down),Low(Up),High(Down),未創全日最高,創全日最低,-18.0,33.5,-131.0,-146.5
Medium_Down_High_Up_Low_Down_H_Nl,2,0.0041753653444676405,"['20231106', '20241016']","20231106, 20241016",Medium(Down),High(Up),Low(Down),創全日最高,未創全日最低,-15.5,54.0,-4.0,39.5
Medium_Up_Medium_Down_High_Up_H_L,2,0.0041753653444676405,"['20231024', '20240618']","20231024, 20240618",Medium(Up),Medium(Down),High(Up),創全日最高,創全日最低,28.5,-101.5,131.0,60.5
Medium_Down_Medium_Down_High_Up_H_L,2,0.0041753653444676405,"['20230904', '20250417']","20230904, 20250417",Medium(Down),Medium(Down),High(Up),創全日最高,創全日最低,-12.0,-50.5,165.5,130.0
Medium_Up_Low_Down_Medium_Down_Nh_L,2,0.0041753653444676405,"['20230907', '20240709']","20230907, 20240709",Medium(Up),Low(Down),Medium(Down),未創全日最高,創全日最低,43.5,-38.0,-60.0,-53.5
Medium_Down_High_Down_Low_Up_Nh_Nl,2,0.0041753653444676405,"['20230810', '20250507']","20230810, 20250507",Medium(Down),High(Down),Low(Up),未創全日最高,未創全日最低,-45.5,-114.5,34.5,-95.5
Medium_Up_Low_Down_High_Down_Nh_L,2,0.0041753653444676405,"['20230809', '20250108']","20230809, 20250108",Medium(Up),Low(Down),High(Down),未創全日最高,創全日最低,58.0,-22.0,-95.5,-31.5
High_Down_Medium_Down_High_Down_Nh_L,2,0.0041753653444676405,"['20230814', '20240503']","20230814, 20240503",High(Down),Medium(Down),High(Down),未創全日最高,創全日最低,-56.5,-35.5,-99.0,-177.5
Medium_Up_High_Down_Medium_Up_Nh_Nl,2,0.0041753653444676405,"['20230801', '20250609']","20230801, 20250609",Medium(Up),High(Down),Medium(Up),未創全日最高,未創全日最低,21.0,-69.5,67.0,43.0
Medium_Down_High_Up_High_Down_Nh_L,2,0.0041753653444676405,"['20231026', '20231213']","20231026, 20231213",Medium(Down),High(Up),High(Down),未創全日最高,創全日最低,-8.0,25.0,-63.5,-56.5
Medium_Down_High_Up_Medium_Up_H_Nl,2,0.0041753653444676405,"['20230927', '20240718']","20230927, 20240718",Medium(Down),High(Up),Medium(Up),創全日最高,未創全日最低,-48.0,76.0,20.0,79.0
Medium_Down_Medium_Up_Medium_Down_H_L,2,0.0041753653444676405,"['20230920', '20250317']","20230920, 20250317",Medium(Down),Medium(Up),Medium(Down),創全日最高,創全日最低,-18.5,73.0,-103.5,-40.0
Medium_Up_Medium_Down_Low_Up_Nh_L,2,0.0041753653444676405,"['20240322', '20241209']","20240322, 20241209",Medium(Up),Medium(Down),Low(Up),未創全日最高,創全日最低,28.0,-41.0,27.5,36.5
Medium_Up_Medium_Up_Low_Down_H_L,2,0.0041753653444676405,"['20241213', '20250116']","20241213, 20250116",Medium(Up),Medium(Up),Low(Down),創全日最高,創全日最低,25.0,18.0,-23.0,-28.5
Low_Up_High_Up_High_Up_H_Nl,2,0.0041753653444676405,"['20241223', '20250411']","20241223, 20250411",Low(Up),High(Up),High(Up),創全日最高,未創全日最低,58.0,204.5,348.5,656.0
Medium_Down_Medium_Up_Medium_Up_H_Nl,2,0.0041753653444676405,"['20241231', '20250122']","20241231, 20250122",Medium(Down),Medium(Up),Medium(Up),創全日最高,未創全日最低,-41.5,53.0,36.0,67.5
Medium_Down_High_Down_High_Up_Nh_L,2,0.0041753653444676405,"['20250121', '20250310']","20250121, 20250310",Medium(Down),High(Down),High(Up),未創全日最高,創全日最低,-95.0,-70.5,94.0,-37.5
High_Flat_High_Flat_High_Flat_H_L,2,0.0041753653444676405,"['20250407', '20250410']","20250407, 20250410",High(Flat),High(Flat),High(Flat),創全日最高,創全日最低,0.0,0.0,0.0,0.0
High_Up_Medium_Down_High_Up_H_Nl,2,0.0041753653444676405,"['20250207', '20250502']","20250207, 20250502",High(Up),Medium(Down),High(Up),創全日最高,未創全日最低,55.5,-38.5,143.0,168.5
High_Up_High_Down_Medium_Up_H_L,2,0.0041753653444676405,"['20240828', '20250103']","20240828, 20250103",High(Up),High(Down),Medium(Up),創全日最高,創全日最低,42.5,-44.5,149.5,133.0
Low_Down_High_Down_High_Down_Nh_L,2,0.0041753653444676405,"['20241118', '20250519']","20241118, 20250519",Low(Down),High(Down),High(Down),未創全日最高,創全日最低,-11.0,-29.5,-68.5,-112.5
High_Up_Medium_Down_Medium_Up_H_Nl,2,0.0041753653444676405,"['20240808', '20250717']","20240808, 20250717",High(Up),Medium(Down),Medium(Up),創全日最高,未創全日最低,164.0,-135.5,125.0,98.5
High_Up_Low_Down_Low_Up_H_Nl,2,0.0041753653444676405,"['20250430', '20250512']","20250430, 20250512",High(Up),Low(Down),Low(Up),創全日最高,未創全日最低,75.0,-26.0,6.0,60.5
Medium_Up_High_Down_Medium_Down_Nh_L,2,0.0041753653444676405,"['20240815', '20241114']","20240815, 20241114",Medium(Up),High(Down),Medium(Down),未創全日最高,創全日最低,13.5,-66.5,-100.0,-123.5
Medium_Up_High_Up_Low_Down_Nh_Nl,2,0.0041753653444676405,"['20240812', '20240816']","20240812, 20240816",Medium(Up),High(Up),Low(Down),未創全日最高,未創全日最低,18.5,59.0,-107.5,33.5
Medium_Up_Medium_Down_Medium_Up_H_L,2,0.0041753653444676405,"['20240730', '20240924']","20240730, 20240924",Medium(Up),Medium(Down),Medium(Up),創全日最高,創全日最低,61.5,-94.5,282.0,257.0
High_Down_High_Down_Medium_Down_Nh_L,2,0.0041753653444676405,"['20231215', '20250314']","20231215, 20250314",High(Down),High(Down),Medium(Down),未創全日最高,創全日最低,-51.0,-14.5,-31.5,-127.5
Medium_Down_High_Down_Medium_Up_H_Nl,2,0.0041753653444676405,"['20231229', '20240806']","20231229, 20240806",Medium(Down),High(Down),Medium(Up),創全日最高,未創全日最低,-37.5,-260.5,340.0,37.5
High_Down_Low_Up_Medium_Up_Nh_Nl,2,0.0041753653444676405,"['20231211', '20250616']","20231211, 20250616",High(Down),Low(Up),Medium(Up),未創全日最高,未創全日最低,-91.5,12.5,55.0,-8.0
High_Down_High_Up_Medium_Down_Nh_L,2,0.0041753653444676405,"['20240130', '20250402']","20240130, 20250402",High(Down),High(Up),Medium(Down),未創全日最高,創全日最低,-37.5,33.5,-24.0,-12.5
Medium_Up_Medium_Up_Medium_Up_H_Nl,2,0.0041753653444676405,"['20240411', '20241219']","20240411, 20241219",Medium(Up),Medium(Up),Medium(Up),創全日最高,未創全日最低,44.5,7.0,22.5,76.0
High_Down_Low_Up_Medium_Down_Nh_L,2,0.0041753653444676405,"['20240221', '20240520']","20240221, 20240520",High(Down),Low(Up),Medium(Down),未創全日最高,創全日最低,-72.5,21.0,-41.5,-100.5
Low_Down_Medium_Down_Medium_Up_H_L,2,0.0041753653444676405,"['20240403', '20240913']","20240403, 20240913",Low(Down),Medium(Down),Medium(Up),創全日最高,創全日最低,-2.0,-26.0,56.5,-3.0
High_Up_High_Down_High_Up_H_Nl,2,0.0041753653444676405,"['20240614', '20250429']","20240614, 20250429",High(Up),High(Down),High(Up),創全日最高,未創全日最低,39.5,-44.0,192.5,206.0
Medium_Up_Medium_Down_High_Down_H_L,2,0.0041753653444676405,"['20240531', '20250626']","20240531, 20250626",Medium(Up),Medium(Down),High(Down),創全日最高,創全日最低,27.5,-26.0,-118.5,-133.0
High_Up_High_Up_Medium_Down_H_L,2,0.0041753653444676405,"['20240626', '20241230']","20240626, 20241230",High(Up),High(Up),Medium(Down),創全日最高,創全日最低,62.0,47.0,-93.0,17.5
High_Up_Medium_Up_Medium_Down_H_L,2,0.0041753653444676405,"['20240517', '20241211']","20240517, 20241211",High(Up),Medium(Up),Medium(Down),創全日最高,創全日最低,45.0,41.0,-92.5,-3.5
High_Up_High_Down_High_Down_Nh_L,2,0.0041753653444676405,"['20240920', '20250212']","20240920, 20250212",High(Up),High(Down),High(Down),未創全日最高,創全日最低,71.5,-48.0,-128.5,-123.5
High_Up_Medium_Up_Low_Down_H_Nl,1,0.0020876826722338203,['20230816'],20230816,High(Up),Medium(Up),Low(Down),創全日最高,未創全日最低,31.0,58.0,-16.0,64.0
High_Down_High_Down_Medium_Up_Nh_Nl,1,0.0020876826722338203,['20231004'],20231004,High(Down),High(Down),Medium(Up),未創全日最高,未創全日最低,-48.0,-40.0,54.0,-40.0
High_Down_Medium_Up_Medium_Up_H_L,1,0.0020876826722338203,['20230824'],20230824,High(Down),Medium(Up),Medium(Up),創全日最高,創全日最低,-47.0,48.0,11.0,-29.0
High_Up_High_Up_High_Down_H_L,1,0.0020876826722338203,['20230830'],20230830,High(Up),High(Up),High(Down),創全日最高,創全日最低,10.0,23.0,-46.0,-14.0
Medium_Up_Medium_Up_Medium_Down_H_L,1,0.0020876826722338203,['20230828'],20230828,Medium(Up),Medium(Up),Medium(Down),創全日最高,創全日最低,10.0,34.0,-31.0,22.0
Medium_Flat_High_Up_High_Down_H_L,1,0.0020876826722338203,['20230818'],20230818,Medium(Flat),High(Up),High(Down),創全日最高,創全日最低,0.0,83.0,-156.0,-70.0
High_Up_High_Down_High_Up_H_L,1,0.0020876826722338203,['20230908'],20230908,High(Up),High(Down),High(Up),創全日最高,創全日最低,9.0,-5.0,76.0,73.0
High_Down_High_Down_High_Up_Nh_L,1,0.0020876826722338203,['20231130'],20231130,High(Down),High(Down),High(Up),未創全日最高,創全日最低,-32.0,-21.0,42.0,-7.0
High_Down_Low_Up_Medium_Up_Nh_L,1,0.0020876826722338203,['20231205'],20231205,High(Down),Low(Up),Medium(Up),未創全日最高,創全日最低,-43.0,13.0,28.0,24.0
Medium_Down_Low_Up_Medium_Up_H_Nl,1,0.0020876826722338203,['20231114'],20231114,Medium(Down),Low(Up),Medium(Up),創全日最高,未創全日最低,-22.0,27.0,1.0,-7.0
High_Down_High_Down_Low_Flat_Nh_L,1,0.0020876826722338203,['20231124'],20231124,High(Down),High(Down),Low(Flat),未創全日最高,創全日最低,-26.0,-36.0,0.0,-37.0
Medium_Down_High_Down_Medium_Down_Nh_L,1,0.0020876826722338203,['20231101'],20231101,Medium(Down),High(Down),Medium(Down),未創全日最高,創全日最低,-17.0,-28.0,-1.0,-51.0
High_Up_Medium_Up_Medium_Down_Nh_Nl,1,0.0020876826722338203,['20231030'],20231030,High(Up),Medium(Up),Medium(Down),未創全日最高,未創全日最低,54.0,34.0,-42.0,39.0
High_Up_Medium_Up_Low_Down_H_L,1,0.0020876826722338203,['20231109'],20231109,High(Up),Medium(Up),Low(Down),創全日最高,創全日最低,13.0,46.0,-13.0,52.0
Medium_Up_Low_Up_Medium_Down_Nh_L,1,0.0020876826722338203,['20231016'],20231016,Medium(Up),Low(Up),Medium(Down),未創全日最高,創全日最低,10.0,1.0,-11.0,-13.0
Medium_Up_Low_Down_High_Down_H_L,1,0.0020876826722338203,['20230918'],20230918,Medium(Up),Low(Down),High(Down),創全日最高,創全日最低,16.0,-7.0,-81.0,-48.0
High_Up_Low_Up_High_Up_H_Nl,1,0.0020876826722338203,['20231006'],20231006,High(Up),Low(Up),High(Up),創全日最高,未創全日最低,3.0,17.0,17.0,55.0
Medium_Flat_High_Down_High_Down_Nh_L,1,0.0020876826722338203,['20240102'],20240102,Medium(Flat),High(Down),High(Down),未創全日最高,創全日最低,0.0,-30.0,-2.0,-40.0
High_Up_High_Up_Low_Up_Nh_L,1,0.0020876826722338203,['20240122'],20240122,High(Up),High(Up),Low(Up),未創全日最高,創全日最低,21.0,7.0,7.0,1.0
Medium_Up_High_Down_High_Down_Nh_Nl,1,0.0020876826722338203,['20240104'],20240104,Medium(Up),High(Down),High(Down),未創全日最高,未創全日最低,15.0,-8.0,-10.0,21.0
High_Down_Medium_Down_High_Up_H_Nl,1,0.0020876826722338203,['20240412'],20240412,High(Down),Medium(Down),High(Up),創全日最高,未創全日最低,-28.0,-14.0,49.0,10.0
High_Down_Low_Flat_High_Up_H_Nl,1,0.0020876826722338203,['20240325'],20240325,High(Down),Low(Flat),High(Up),創全日最高,未創全日最低,-47.0,0.0,4.0,-25.0
High_Up_Medium_Up_Medium_Down_Nh_L,1,0.0020876826722338203,['20231228'],20231228,High(Up),Medium(Up),Medium(Down),未創全日最高,創全日最低,9.0,22.0,-14.0,15.0
Medium_Up_High_Up_High_Down_Nh_L,1,0.0020876826722338203,['20240308'],20240308,Medium(Up),High(Up),High(Down),未創全日最高,創全日最低,7.0,10.0,-201.0,-139.0
Medium_Up_Low_Down_Low_Down_H_L,1,0.0020876826722338203,['20240307'],20240307,Medium(Up),Low(Down),Low(Down),創全日最高,創全日最低,23.0,-36.0,-1.0,21.0
Low_Down_Medium_Up_Low_Down_H_Nl,1,0.0020876826722338203,['20240305'],20240305,Low(Down),Medium(Up),Low(Down),創全日最高,未創全日最低,-14.0,48.0,-10.0,27.0
